source,recipient,issueDomain,amount,flowType,traceability,largeDonorShare,sourceRecordId,sourceUrl,committeeType,spendingPurpose,supportOppose,disclosureLag
NEBRASKA DEMOCRATIC PARTY,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.5000,DIRECT_CONTRIBUTION,0.6200,0.9500,63464001,https://docquery.fec.gov/cgi-bin/fecimg/?202412059739446099,Party - Qualified,contribution,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.4364,DIRECT_CONTRIBUTION,0.6200,0.9500,59938267,https://docquery.fec.gov/cgi-bin/fecimg/?202305209581648263,Party - Qualified,HEADQUARTERS ACCOUNT - TRANSFER FOR HEADQUARTERS EXPENSES,,0.2800
HARRIS VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.3897,DIRECT_CONTRIBUTION,0.6200,0.9500,63463871,https://docquery.fec.gov/cgi-bin/fecimg/?202412059739446138,Party - Qualified,SALARY & OVERHEAD EXPENSES,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.3606,DIRECT_CONTRIBUTION,0.6200,0.9500,61200218,https://docquery.fec.gov/cgi-bin/fecimg/?202406079648913458,Party - Qualified,HEADQUARTERS ACCOUNT - TRANSFER FOR HEADQUARTERS EXPENSES,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.3393,DIRECT_CONTRIBUTION,0.6200,0.9500,63646433,https://docquery.fec.gov/cgi-bin/fecimg/?202501319752440125,Party - Qualified,RECOUNT ACCOUNT - TRANSFER FOR RECOUNT AND LEGAL PROCEEDING ACCOUNT EXPENSES,,0.2800
FEDERAL: COLORADO DEMOCRATIC PARTY,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.3100,DIRECT_CONTRIBUTION,0.6200,0.9500,63464000,https://docquery.fec.gov/cgi-bin/fecimg/?202412059739445697,Party - Qualified,contribution,,0.2800
DEMOCRATIC GRASSROOTS VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.2500,DIRECT_CONTRIBUTION,0.6200,0.9500,59974011,https://docquery.fec.gov/cgi-bin/fecimg/?202309209597253610,Party - Qualified,contribution,,0.2800
IOWA DEMOCRATIC PARTY,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.2500,DIRECT_CONTRIBUTION,0.6200,0.9500,63463998,https://docquery.fec.gov/cgi-bin/fecimg/?202412059739445696,Party - Qualified,contribution,,0.2800
IOWA DEMOCRATIC PARTY,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.1800,DIRECT_CONTRIBUTION,0.6200,0.9500,61494377,https://docquery.fec.gov/cgi-bin/fecimg/?202406209652373468,Party - Qualified,contribution,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.1692,DIRECT_CONTRIBUTION,0.6200,0.9500,60926570,https://docquery.fec.gov/cgi-bin/fecimg/?202403209627292804,Party - Qualified,RECOUNT ACCOUNT - TRANSFER FOR RECOUNT AND LEGAL PROCEEDING ACCOUNT EXPENSES,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.1219,DIRECT_CONTRIBUTION,0.6200,0.9500,60926564,https://docquery.fec.gov/cgi-bin/fecimg/?202403209627292804,Party - Qualified,HEADQUARTERS ACCOUNT - TRANSFER FOR HEADQUARTERS EXPENSES,,0.2800
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0162,DIRECT_CONTRIBUTION,0.6200,0.9500,59823291,https://docquery.fec.gov/cgi-bin/fecimg/?202304209581247697,Party - Qualified,HEADQUARTERS ACCOUNT - TRANSFER FOR HEADQUARTERS EXPENSES,,0.2800
BIDEN VICTORY FUND,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,energy,1.0000,DIRECT_CONTRIBUTION,0.6200,0.9500,61808603,https://docquery.fec.gov/cgi-bin/fecimg/?202407209665701365,Party - Qualified,contribution,,0.2800
